Hour,Global_active_power_mean,Global_active_power_std,Global_active_power_min,Global_active_power_max,Voltage_mean,Voltage_std,Global_intensity_mean,Global_intensity_max,Sub_metering_1_mean,Sub_metering_1_max,Sub_metering_2_mean,Sub_metering_2_max,Sub_metering_3_mean,Sub_metering_3_max,Sub_metering_4_mean,Sub_metering_4_max,Total_Sub_metering_mean
0,0.6065410530932216,0.5850510850482827,0.078,5.046,242.44586825278247,2.736136032298909,2.5851905558289414,21.0,0.0,0.0,0.38700365912377865,4.0,2.8066986231730096,31.0,6.915441195374499,73.83333333333333,10.109143477671287
1,0.5057875335721697,0.48044931168635835,0.078,4.542,241.72433342003367,2.6277213809930933,2.172116184331184,19.2,0.0,0.0,0.3425973438435531,4.0,2.2455769527337934,30.0,5.841715506336097,73.53333333333333,8.429889802913443
2,0.4645022248050381,0.44275675141424753,0.078,3.99,242.57593692826487,3.074082564601386,1.9984773697636038,16.6,0.0,0.0,0.34805860088545404,4.0,1.9320497497104658,31.0,5.461667180735714,49.5,7.741775531331634
3,0.4421565583215228,0.4166055233389966,0.078,3.608,242.65408822822704,2.8886302719132284,1.9066188386598113,15.0,0.0,0.0,0.33635835834462446,4.0,1.7089684390772193,31.0,5.324026543734051,47.833333333333336,7.369353341155895
4,0.44070763506612465,0.4157086829781764,0.078,3.648,242.4008584664283,2.8822858694226534,1.8994309144118853,15.0,0.0,0.0,0.3275413309700702,2.0,1.8626151024685749,31.0,5.155129540301545,51.2,7.345285973740189
5,0.4568869185837481,0.4395492003589734,0.078,5.062,242.07582652403028,2.863549346390593,1.9632452652668628,21.0,0.0,0.0,0.31368657585348025,2.0,2.1695481560884224,31.0,5.13168191290513,78.2,7.614916644847033
6,0.7593369991644517,0.8374441293304452,0.078,5.156,241.9300709581875,2.8709091204546993,3.2328368229509277,21.4,0.0,0.0,0.31737228772606646,2.0,4.183079838549362,31.0,8.155224710257475,85.93333333333334,12.655676836532905
7,1.4328111313377807,1.0180114017781066,0.078,5.108,240.00747507026796,2.6552893728227627,6.0312022019802525,21.4,0.0,0.0,0.31429174511014424,4.0,10.365140269064645,31.0,13.200872618651097,83.36666666666666,23.880304632825887
8,1.2864656835824027,0.7944008231565837,0.078,5.098,239.73974254115657,2.7556551513332193,5.402765488272866,21.4,0.0,0.0,0.3545848639257977,4.0,11.767995876676688,31.0,9.318630186673609,82.6,21.441210927276096
9,1.162315079511373,0.6532993953278917,0.078,4.842,239.58694747673576,2.791758797491832,4.8801923842087955,20.6,0.0,0.0,0.34749177596599606,4.0,11.921826082436262,31.0,7.1026654187221965,77.2,19.371983277124457
