Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;19:03:00;3.434;0.090;232.010;14.800;0.000;1.000;16.000
16/12/2006;20:43:00;3.372;0.048;235.050;14.200;0.000;0.000;17.000
16/12/2006;22:23:00;2.426;0.068;239.050;10.000;0.000;0.000;0.000
17/12/2006;00:03:00;2.974;0.194;239.970;12.400;0.000;1.000;0.000
17/12/2006;01:43:00;2.664;0.000;243.310;11.200;0.000;23.000;0.000
17/12/2006;03:23:00;1.480;0.000;243.730;7.400;0.000;0.000;0.000
17/12/2006;05:03:00;3.418;0.050;242.700;14.000;0.000;1.000;18.000
17/12/2006;06:43:00;0.664;0.090;244.490;2.600;0.000;1.000;0.000
17/12/2006;08:23:00;2.462;0.202;241.060;10.200;0.000;1.000;0.000
17/12/2006;10:03:00;3.054;0.060;237.550;13.400;0.000;0.000;18.000
17/12/2006;11:43:00;1.854;0.224;240.690;7.600;0.000;0.000;18.000
17/12/2006;13:23:00;1.456;0.110;241.050;6.000;0.000;0.000;18.000
17/12/2006;15:03:00;2.108;0.204;243.260;8.600;0.000;1.000;18.000
17/12/2006;16:43:00;2.804;0.092;236.910;11.800;0.000;0.000;17.000
17/12/2006;18:23:00;3.612;0.136;235.450;15.200;0.000;0.000;17.000
17/12/2006;20:03:00;2.560;0.170;233.870;11.200;0.000;0.000;17.000
17/12/2006;21:43:00;3.080;0.380;238.830;13.000;0.000;1.000;17.000
17/12/2006;23:23:00;0.382;0.154;245.240;1.600;0.000;1.000;0.000
18/12/2006;01:03:00;0.324;0.146;243.950;1.600;0.000;0.000;0.000
18/12/2006;02:43:00;0.308;0.142;246.780;1.400;0.000;0.000;0.000
18/12/2006;04:23:00;1.352;0.000;243.770;5.600;0.000;0.000;18.000
18/12/2006;06:03:00;0.246;0.000;246.920;1.200;0.000;0.000;0.000
18/12/2006;07:43:00;3.884;0.174;239.440;16.200;0.000;0.000;17.000
18/12/2006;09:23:00;1.262;0.000;240.620;5.200;0.000;0.000;17.000
18/12/2006;11:03:00;1.248;0.000;239.350;5.200;0.000;0.000;17.000
18/12/2006;12:43:00;1.388;0.000;242.570;5.600;0.000;0.000;18.000
18/12/2006;14:23:00;1.860;0.086;239.350;7.600;0.000;0.000;18.000
18/12/2006;16:03:00;1.622;0.000;242.810;6.600;0.000;0.000;18.000
18/12/2006;17:43:00;1.896;0.000;239.300;7.800;0.000;0.000;17.000
18/12/2006;19:23:00;4.642;0.400;233.620;19.800;0.000;36.000;0.000
18/12/2006;21:03:00;3.316;0.072;235.820;14.200;0.000;0.000;17.000
18/12/2006;22:43:00;1.412;0.220;241.540;5.800;0.000;0.000;0.000
19/12/2006;00:23:00;0.250;0.000;244.280;1.000;0.000;1.000;0.000
19/12/2006;02:03:00;0.346;0.128;244.690;1.600;0.000;1.000;0.000
19/12/2006;03:43:00;0.344;0.130;243.830;1.600;0.000;0.000;0.000
19/12/2006;05:23:00;0.246;0.000;242.790;1.000;0.000;1.000;0.000
19/12/2006;07:03:00;0.764;0.132;240.610;3.200;0.000;0.000;0.000
19/12/2006;08:43:00;5.354;0.106;234.170;23.000;37.000;34.000;17.000
19/12/2006;10:23:00;0.224;0.000;243.030;1.000;0.000;0.000;0.000
19/12/2006;12:03:00;1.438;0.192;240.790;7.200;0.000;21.000;0.000
19/12/2006;13:43:00;0.208;0.000;243.200;0.800;0.000;0.000;0.000
19/12/2006;15:23:00;0.256;0.056;238.120;1.200;0.000;0.000;0.000
19/12/2006;17:03:00;1.292;0.000;241.500;5.200;0.000;0.000;18.000
19/12/2006;18:43:00;1.930;0.076;237.420;8.000;0.000;1.000;18.000
19/12/2006;20:23:00;4.258;0.492;239.290;18.800;0.000;26.000;0.000
19/12/2006;22:03:00;0.964;0.088;239.170;4.000;0.000;0.000;0.000
19/12/2006;23:43:00;0.300;0.000;248.340;1.200;0.000;0.000;0.000
20/12/2006;01:23:00;0.332;0.134;243.890;1.400;0.000;0.000;0.000
20/12/2006;03:03:00;0.208;0.000;245.500;0.800;0.000;0.000;0.000
20/12/2006;04:43:00;0.308;0.144;247.210;1.400;0.000;0.000;0.000
20/12/2006;06:23:00;0.208;0.000;244.240;0.800;0.000;0.000;0.000
20/12/2006;08:03:00;5.892;0.052;236.690;24.800;0.000;37.000;17.000
20/12/2006;09:43:00;1.408;0.094;243.720;5.800;0.000;0.000;18.000
20/12/2006;11:23:00;3.572;0.140;239.760;14.800;0.000;38.000;17.000
20/12/2006;13:03:00;1.402;0.108;242.010;5.800;0.000;0.000;18.000
20/12/2006;14:43:00;1.326;0.000;244.740;5.400;0.000;0.000;18.000
20/12/2006;16:23:00;0.294;0.096;244.870;1.200;0.000;0.000;0.000
20/12/2006;18:03:00;1.076;0.180;242.790;4.400;0.000;0.000;0.000
20/12/2006;19:43:00;3.300;0.000;236.900;13.800;0.000;0.000;18.000
20/12/2006;21:23:00;3.680;0.178;236.350;15.600;0.000;0.000;17.000
20/12/2006;23:03:00;2.494;0.048;242.030;10.200;0.000;1.000;18.000
21/12/2006;00:43:00;2.176;0.000;242.650;8.800;0.000;0.000;18.000
21/12/2006;02:23:00;1.448;0.140;244.220;6.000;0.000;0.000;19.000
21/12/2006;04:03:00;0.208;0.000;245.100;0.800;0.000;0.000;0.000
21/12/2006;05:43:00;0.392;0.252;246.090;1.800;0.000;1.000;0.000
21/12/2006;07:23:00;0.668;0.104;244.290;2.800;0.000;0.000;0.000
21/12/2006;09:03:00;3.720;0.068;237.430;15.600;1.000;38.000;18.000
21/12/2006;10:43:00;1.322;0.050;241.820;5.400;0.000;0.000;18.000
21/12/2006;12:23:00;0.332;0.128;244.720;1.400;0.000;0.000;0.000
21/12/2006;14:03:00;1.344;0.000;245.550;5.400;0.000;0.000;19.000
21/12/2006;15:43:00;0.236;0.000;241.800;1.000;0.000;0.000;0.000
21/12/2006;17:23:00;1.588;0.054;234.380;6.800;0.000;0.000;18.000
21/12/2006;19:03:00;1.726;0.000;233.790;7.400;0.000;0.000;17.000
21/12/2006;20:43:00;2.142;0.392;236.860;9.200;0.000;2.000;0.000
21/12/2006;22:23:00;0.204;0.000;242.420;0.800;0.000;0.000;0.000
22/12/2006;00:03:00;0.314;0.128;244.630;1.400;0.000;0.000;0.000
22/12/2006;01:43:00;0.206;0.000;245.610;0.800;0.000;0.000;0.000
22/12/2006;03:23:00;0.260;0.050;247.110;1.200;0.000;0.000;0.000
22/12/2006;05:03:00;1.400;0.078;242.510;5.800;0.000;0.000;19.000
22/12/2006;06:43:00;0.206;0.000;243.730;0.800;0.000;0.000;0.000
22/12/2006;08:23:00;4.220;0.206;239.370;17.600;39.000;2.000;17.000
22/12/2006;10:03:00;1.346;0.074;241.410;5.600;0.000;0.000;18.000
22/12/2006;11:43:00;1.290;0.198;238.790;5.600;0.000;0.000;17.000
22/12/2006;13:23:00;0.610;0.228;241.070;2.600;0.000;0.000;0.000
22/12/2006;15:03:00;1.474;0.176;239.830;6.200;0.000;0.000;18.000
22/12/2006;16:43:00;1.766;0.190;242.280;7.200;0.000;0.000;18.000
22/12/2006;18:23:00;3.786;0.560;237.580;16.600;0.000;2.000;0.000
22/12/2006;20:03:00;2.922;0.220;238.390;12.200;0.000;0.000;18.000
22/12/2006;21:43:00;4.936;0.000;233.690;21.000;0.000;0.000;17.000
22/12/2006;23:23:00;1.312;0.000;243.900;5.800;0.000;0.000;0.000
23/12/2006;01:03:00;2.504;0.208;243.170;10.200;0.000;2.000;0.000
23/12/2006;02:43:00;0.434;0.082;245.440;2.800;0.000;0.000;0.000
23/12/2006;04:23:00;0.212;0.000;244.480;0.800;0.000;0.000;0.000
23/12/2006;06:03:00;1.756;0.046;243.180;8.200;0.000;0.000;0.000
23/12/2006;07:43:00;4.374;0.076;237.640;18.400;0.000;0.000;18.000
23/12/2006;09:23:00;3.382;0.056;242.020;13.800;0.000;0.000;18.000
23/12/2006;11:03:00;3.770;0.144;236.460;15.800;0.000;0.000;17.000
23/12/2006;12:43:00;3.698;0.000;238.430;15.600;0.000;0.000;18.000
23/12/2006;14:23:00;4.042;0.062;239.820;16.800;0.000;0.000;18.000
23/12/2006;16:03:00;4.658;0.660;240.810;19.600;0.000;0.000;17.000
23/12/2006;17:43:00;2.984;0.320;235.390;12.600;2.000;1.000;17.000
23/12/2006;19:23:00;3.088;0.208;239.450;13.200;0.000;1.000;18.000
23/12/2006;21:03:00;2.258;0.284;240.030;9.400;0.000;1.000;18.000
23/12/2006;22:43:00;4.238;0.432;239.390;17.800;39.000;2.000;0.000
24/12/2006;00:23:00;2.950;0.100;240.820;12.600;0.000;0.000;17.000
24/12/2006;02:03:00;3.864;0.000;239.490;16.400;39.000;0.000;18.000
24/12/2006;03:43:00;0.574;0.000;247.280;4.000;0.000;0.000;0.000
24/12/2006;05:23:00;1.666;0.124;246.050;8.000;0.000;0.000;0.000
24/12/2006;07:03:00;0.784;0.000;243.530;5.000;0.000;0.000;0.000
24/12/2006;08:43:00;0.762;0.000;243.030;5.000;0.000;0.000;0.000
24/12/2006;10:23:00;2.468;0.258;236.310;10.400;0.000;0.000;17.000
24/12/2006;12:03:00;1.916;0.382;237.780;8.200;0.000;1.000;17.000
24/12/2006;13:43:00;4.154;0.146;237.180;17.600;0.000;31.000;17.000
24/12/2006;15:23:00;3.176;0.140;242.920;13.000;0.000;38.000;0.000
24/12/2006;17:03:00;1.166;0.202;241.880;4.800;0.000;4.000;0.000
24/12/2006;18:43:00;0.560;0.216;241.440;2.400;0.000;1.000;0.000
24/12/2006;20:23:00;0.420;0.000;243.260;1.600;0.000;0.000;0.000
24/12/2006;22:03:00;0.594;0.236;242.550;2.600;0.000;0.000;0.000
24/12/2006;23:43:00;0.492;0.116;242.310;2.000;0.000;1.000;0.000
25/12/2006;01:23:00;1.918;0.104;242.580;7.800;0.000;0.000;18.000
25/12/2006;03:03:00;0.654;0.146;248.500;2.600;0.000;0.000;0.000
25/12/2006;04:43:00;0.532;0.000;247.640;2.000;0.000;0.000;0.000
25/12/2006;06:23:00;0.312;0.150;248.020;1.400;0.000;0.000;0.000
25/12/2006;08:03:00;3.652;0.198;238.820;15.400;0.000;1.000;17.000
25/12/2006;09:43:00;1.512;0.178;243.970;6.200;0.000;0.000;0.000
25/12/2006;11:23:00;3.104;0.090;243.250;12.800;0.000;0.000;18.000
25/12/2006;13:03:00;1.036;0.146;245.120;4.200;0.000;0.000;0.000
25/12/2006;14:43:00;1.872;0.090;245.080;7.800;0.000;0.000;13.000
25/12/2006;16:23:00;4.514;0.468;240.910;18.800;39.000;0.000;0.000
25/12/2006;18:03:00;3.004;0.218;238.810;12.600;0.000;0.000;17.000
25/12/2006;19:43:00;1.040;0.138;242.890;4.200;0.000;0.000;0.000
25/12/2006;21:23:00;2.520;0.298;238.620;10.600;0.000;2.000;17.000
25/12/2006;23:03:00;2.998;0.178;242.210;12.400;0.000;0.000;0.000
26/12/2006;00:43:00;2.480;0.142;244.550;10.000;0.000;0.000;0.000
26/12/2006;02:23:00;2.454;0.112;244.720;10.000;0.000;1.000;0.000
26/12/2006;04:03:00;2.388;0.000;246.180;9.600;0.000;0.000;0.000
26/12/2006;05:43:00;2.314;0.000;242.370;9.400;0.000;0.000;0.000
26/12/2006;07:23:00;2.618;0.000;239.840;10.800;0.000;0.000;0.000
26/12/2006;09:03:00;3.040;0.144;238.600;12.600;0.000;0.000;17.000
26/12/2006;10:43:00;4.384;0.052;236.360;18.400;0.000;0.000;17.000
26/12/2006;12:23:00;2.378;0.084;238.470;10.000;0.000;1.000;18.000
26/12/2006;14:03:00;4.520;0.360;242.800;18.600;0.000;37.000;18.000
26/12/2006;15:43:00;2.564;0.124;243.930;10.600;0.000;1.000;18.000
26/12/2006;17:23:00;3.588;0.294;236.090;15.200;0.000;2.000;17.000
26/12/2006;19:03:00;2.968;0.266;238.410;12.400;0.000;0.000;17.000
26/12/2006;20:43:00;3.780;0.114;243.270;15.600;1.000;1.000;18.000
26/12/2006;22:23:00;0.960;0.122;243.900;4.200;0.000;0.000;0.000
27/12/2006;00:03:00;0.628;0.170;246.700;2.800;0.000;0.000;0.000
27/12/2006;01:43:00;0.502;0.198;249.230;2.400;0.000;0.000;0.000
27/12/2006;03:23:00;0.530;0.222;247.720;2.400;0.000;0.000;0.000
27/12/2006;05:03:00;0.394;0.046;248.510;1.800;0.000;0.000;0.000
27/12/2006;06:43:00;0.484;0.182;249.010;2.200;0.000;2.000;0.000
27/12/2006;08:23:00;1.846;0.000;240.070;7.600;0.000;0.000;18.000
27/12/2006;10:03:00;1.986;0.000;238.100;8.200;0.000;0.000;18.000
27/12/2006;11:43:00;1.264;0.000;239.850;5.200;0.000;0.000;18.000
27/12/2006;13:23:00;0.314;0.158;242.390;1.400;0.000;0.000;0.000
