Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006,17:24:00,4.216,0.418,234.84,18.4,0.0,1.0,17.0
16/12/2006,17:27:00,5.388,0.502,233.74,23.0,0.0,1.0,17.0
16/12/2006,17:29:00,3.52,0.522,235.02,15.0,0.0,2.0,17.0
16/12/2006,17:30:00,3.702,0.52,235.09,15.8,0.0,1.0,17.0
16/12/2006,17:32:00,3.668,0.51,233.99,15.8,0.0,1.0,17.0
16/12/2006,17:38:00,4.054,0.422,235.24,17.6,0.0,1.0,17.0
16/12/2006,17:39:00,3.384,0.282,237.14,14.2,0.0,0.0,17.0
16/12/2006,17:41:00,3.43,0.156,237.06,14.4,0.0,0.0,17.0
16/12/2006,17:43:00,3.728,0.0,235.84,16.4,0.0,0.0,17.0
16/12/2006,17:44:00,5.894,0.0,232.69,25.4,0.0,0.0,16.0
16/12/2006,17:47:00,5.174,0.0,234.19,22.0,0.0,0.0,17.0
16/12/2006,17:51:00,3.228,0.0,235.6,13.6,0.0,0.0,17.0
16/12/2006,17:53:00,3.178,0.0,235.28,13.4,0.0,0.0,17.0
16/12/2006,17:54:00,2.72,0.0,235.06,11.6,0.0,0.0,17.0
16/12/2006,17:55:00,3.758,0.076,234.17,16.4,0.0,0.0,17.0
16/12/2006,17:57:00,4.512,0.0,233.62,19.2,0.0,0.0,17.0
16/12/2006,17:58:00,4.058,0.2,234.68,17.6,0.0,0.0,17.0
16/12/2006,17:59:00,2.472,0.058,236.94,10.4,0.0,0.0,17.0
16/12/2006,18:02:00,2.772,0.118,238.28,11.6,0.0,0.0,17.0
16/12/2006,18:05:00,6.052,0.192,232.93,26.2,0.0,37.0,17.0
16/12/2006,18:06:00,6.752,0.186,232.12,29.0,0.0,36.0,17.0
16/12/2006,18:07:00,6.474,0.144,231.85,27.8,0.0,37.0,16.0
16/12/2006,18:08:00,6.308,0.116,232.25,27.0,0.0,36.0,17.0
16/12/2006,18:10:00,3.396,0.148,236.2,15.0,0.0,22.0,18.0
16/12/2006,18:11:00,3.09,0.152,237.07,13.8,0.0,12.0,17.0
16/12/2006,18:13:00,2.308,0.16,237.43,9.6,0.0,1.0,17.0
16/12/2006,18:14:00,2.388,0.158,237.26,10.0,0.0,1.0,17.0
16/12/2006,18:15:00,4.598,0.1,234.25,21.4,0.0,20.0,17.0
16/12/2006,18:16:00,4.524,0.076,234.2,19.6,0.0,9.0,17.0
16/12/2006,18:18:00,4.472,0.0,233.29,19.2,0.0,1.0,16.0
16/12/2006,18:21:00,2.94,0.0,236.04,12.4,0.0,2.0,17.0
16/12/2006,18:23:00,2.926,0.0,235.68,12.4,0.0,1.0,17.0
16/12/2006,18:25:00,4.87,0.0,233.74,20.8,0.0,1.0,17.0
16/12/2006,18:26:00,4.868,0.0,233.84,20.8,0.0,1.0,17.0
16/12/2006,18:27:00,4.866,0.0,233.79,20.8,0.0,1.0,17.0
16/12/2006,18:32:00,2.608,0.052,235.41,11.0,0.0,1.0,17.0
16/12/2006,18:34:00,3.538,0.086,233.76,15.6,0.0,1.0,16.0
16/12/2006,18:36:00,4.536,0.0,233.54,19.4,0.0,1.0,17.0
16/12/2006,18:43:00,2.188,0.068,235.8,9.2,0.0,1.0,17.0
16/12/2006,18:47:00,4.218,0.178,233.98,18.0,0.0,1.0,17.0
16/12/2006,18:48:00,2.786,0.188,234.99,12.0,0.0,2.0,17.0
16/12/2006,18:49:00,2.54,0.088,234.67,10.8,0.0,4.0,17.0
16/12/2006,18:52:00,2.322,0.0,233.44,9.8,0.0,0.0,17.0
16/12/2006,18:54:00,4.298,0.0,232.39,18.4,0.0,1.0,16.0
16/12/2006,18:56:00,4.23,0.09,232.32,18.2,0.0,2.0,16.0
16/12/2006,18:58:00,4.218,0.09,232.09,18.0,0.0,1.0,17.0
16/12/2006,18:59:00,4.224,0.09,231.96,18.2,0.0,1.0,16.0
16/12/2006,19:03:00,3.434,0.09,232.01,14.8,0.0,1.0,16.0
16/12/2006,19:05:00,3.404,0.082,233.08,14.6,0.0,2.0,16.0
16/12/2006,19:06:00,3.382,0.074,233.69,14.4,0.0,0.0,17.0
